ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Age_Group,Income_Range,Total_Campain_Acceptance
1349,1970,Graduation,Married,50447,2,0,21/04/2014,4,85,7,24,2,3,27,1,3,1,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,53,"(45, 55]",High,0
1880,1959,PhD,Together,53537,1,1,30/01/2014,17,81,0,6,0,0,6,2,2,1,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,64,"(55, 65]",High,0
641,1967,Graduation,Single,52074,0,1,04/04/2014,77,59,0,12,0,0,48,1,2,2,2,4,Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,56,"(55, 65]",High,1
10854,1970,PhD,Married,38853,1,1,23/05/2014,90,29,0,14,0,0,2,2,2,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,53,"(45, 55]",Medium,0
10492,1959,Graduation,Together,38285,2,1,24/06/2014,96,2,0,5,2,0,1,1,0,0,3,2,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,64,"(55, 65]",Medium,0
7698,1976,PhD,Married,51650,0,1,11/05/2014,81,152,3,22,2,5,7,1,4,1,4,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,47,"(45, 55]",High,0
3559,1988,2n Cycle,Married,16248,1,0,10/05/2014,77,12,11,10,3,12,9,3,2,1,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,35,"(25, 35]",Low,0
10796,1984,Master,Married,30477,1,0,22/01/2014,16,47,1,6,0,0,12,1,1,1,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,39,"(35, 45]",Medium,0
2563,1961,Basic,Married,28249,0,0,15/06/2014,80,1,9,7,2,14,10,1,2,0,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,62,"(55, 65]",Low,0
3518,1983,Graduation,Married,25271,1,0,05/12/2012,45,10,1,18,10,4,7,1,1,1,2,9,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,40,"(35, 45]",Low,0
5823,1970,PhD,Single,32303,0,1,08/03/2014,63,35,0,2,0,0,2,2,1,0,4,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,53,"(45, 55]",Medium,0
6431,1964,PhD,Married,45759,1,1,23/02/2013,13,42,1,18,3,0,4,2,2,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,59,"(55, 65]",High,0
9733,1978,Basic,Together,24882,1,0,09/09/2012,52,1,4,10,29,0,36,1,1,1,2,6,Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,45,"(35, 45]",Low,1
1324,1988,Graduation,Married,38872,1,0,30/05/2013,93,23,3,21,3,19,22,2,3,0,3,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,35,"(25, 35]",Medium,0
7224,1977,Graduation,Married,31353,1,1,29/12/2013,24,10,0,10,3,1,7,2,1,1,2,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,46,"(45, 55]",Medium,0
1030,1965,PhD,Single,40637,1,1,17/07/2013,72,22,0,13,0,0,3,2,1,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,58,"(55, 65]",High,0
624,1984,Master,Single,18890,0,0,10/11/2012,5,6,4,1,7,2,15,1,0,1,2,6,Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Accepted,39,"(35, 45]",Low,1
5176,1988,Graduation,Together,29604,1,0,08/12/2013,88,7,6,13,7,6,14,1,1,0,3,9,Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,35,"(25, 35]",Medium,1
5552,1963,Master,Divorced,48721,1,1,13/05/2013,50,81,18,113,47,13,21,6,4,2,5,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,60,"(55, 65]",High,0
868,1966,Graduation,Married,44794,0,1,08/06/2014,99,54,0,7,0,0,4,1,2,0,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,57,"(55, 65]",High,0
7264,1978,2n Cycle,Single,52195,2,1,12/05/2014,2,12,0,4,0,0,1,1,1,0,2,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,45,"(35, 45]",High,0
1377,1954,Master,Widow,44551,0,1,31/08/2013,24,182,4,33,0,0,66,2,4,1,5,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,69,"(65, 75]",High,0
1755,1988,2n Cycle,Together,45204,1,0,11/04/2014,93,30,11,25,29,1,18,1,1,1,4,3,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,35,"(25, 35]",High,0
9076,1980,PhD,Married,30732,1,0,05/01/2013,44,155,1,25,0,1,3,4,4,1,4,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,43,"(35, 45]",Medium,0
4653,1978,Graduation,Together,42011,1,0,26/03/2013,46,131,0,16,2,1,39,4,3,1,4,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,45,"(35, 45]",High,0
3726,1986,PhD,Together,34320,1,0,16/02/2014,66,4,1,9,3,0,0,1,1,0,2,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,37,"(35, 45]",Medium,0
1606,1971,Graduation,Together,38590,1,0,15/05/2013,65,3,1,8,4,3,3,1,1,0,2,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,52,"(45, 55]",Medium,0
9617,1951,Graduation,Single,15033,0,0,16/04/2014,37,0,4,5,6,0,4,1,1,0,3,3,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,72,"(65, 75]",Low,0
89,1975,2n Cycle,Married,22212,1,0,09/12/2013,49,5,9,20,6,8,21,2,2,0,4,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,48,"(45, 55]",Low,0
2936,1982,Master,Together,23661,1,0,04/12/2013,46,18,0,4,0,0,1,1,1,0,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,41,"(35, 45]",Low,0
7297,1973,Graduation,Single,7500,1,0,26/12/2013,54,5,3,10,12,7,20,4,3,1,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,50,"(45, 55]",Low,0
10735,1971,Graduation,Single,22804,1,0,31/07/2013,75,14,1,7,2,1,1,1,2,0,2,9,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,52,"(45, 55]",Low,0
7411,1964,PhD,Married,31686,1,1,05/06/2014,31,11,0,5,0,0,1,2,1,0,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,59,"(55, 65]",Medium,0
10236,1975,Master,Single,31160,1,0,16/09/2013,59,16,3,25,6,1,13,2,2,0,3,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,48,"(45, 55]",Medium,0
6340,1985,Graduation,Single,29938,1,0,27/10/2013,52,3,3,7,0,2,11,2,1,0,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,38,"(35, 45]",Medium,0
2227,1958,2n Cycle,Together,26490,0,0,22/09/2012,92,45,47,52,21,20,25,2,3,1,5,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,65,"(55, 65]",Low,0
5304,1974,PhD,Single,30899,1,0,13/10/2012,35,24,0,8,0,0,1,2,1,0,3,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,49,"(45, 55]",Medium,0
2661,1964,Graduation,Single,18701,1,1,04/06/2013,95,12,4,2,10,6,10,4,2,0,4,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,59,"(55, 65]",Low,0
3153,1957,PhD,Single,40737,2,1,08/12/2013,24,11,0,4,0,0,2,1,1,0,2,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,66,"(65, 75]",High,0
10264,1979,Graduation,Divorced,15287,1,0,10/10/2012,60,1,2,8,4,3,13,2,1,1,2,7,Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Accepted,44,"(35, 45]",Low,1
9396,1978,PhD,Married,37717,1,0,23/11/2012,31,9,0,6,4,1,5,1,1,0,2,9,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,45,"(35, 45]",Medium,0
2387,1952,Master,Together,43776,1,1,03/02/2013,9,177,2,71,3,2,20,6,5,2,4,8,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Accepted,71,"(65, 75]",High,0
6690,1966,Master,Married,38179,1,1,14/03/2013,30,38,4,22,4,2,20,4,3,1,3,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,57,"(55, 65]",Medium,0
9703,1970,PhD,Married,38097,1,1,15/10/2012,70,77,2,35,0,1,69,4,3,2,2,7,Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Accepted,53,"(45, 55]",Medium,1
4557,1970,Graduation,Together,22070,1,0,04/10/2013,11,10,7,19,8,2,21,2,2,2,2,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,53,"(45, 55]",Low,0
5726,1983,Master,Single,31788,1,0,20/03/2014,15,16,7,23,0,8,6,3,3,0,4,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,complained,Not Accepted,40,"(35, 45]",Medium,0
3066,1975,PhD,Together,61905,0,1,04/02/2014,2,167,0,43,6,2,13,2,4,2,4,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,48,"(45, 55]",High,0
6336,1960,Graduation,Married,29315,1,1,06/04/2014,55,13,2,14,8,7,4,4,2,0,4,6,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,63,"(55, 65]",Medium,0
10967,1963,Graduation,Divorced,33378,1,1,06/02/2013,38,33,6,40,3,7,10,3,2,0,4,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,60,"(55, 65]",Medium,0
4669,1981,Basic,Married,24480,1,0,11/02/2013,46,4,19,9,28,25,17,3,3,0,4,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,42,"(35, 45]",Low,0
8962,1975,Master,Married,44319,1,1,17/04/2014,18,26,0,8,0,0,3,2,2,0,3,5,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,48,"(45, 55]",High,0
9974,1974,Graduation,Married,30631,1,0,12/07/2013,75,15,6,20,4,5,20,1,3,1,2,7,Not Accepted,Not Accepted,Not Accepted,Not Accepted,Not Accepted,not complained,Not Accepted,49,"(45, 55]",Medium,0
